provider,asn,hq,is_eu,patterns
,2799,SE,True,
,2842,SE,True,
,2846,SE,True,
,6883,AT,True,
,9095,TR,False,
,9159,FR,True,
,15607,IT,True,
"A1TELEKOM-AT A1 Telekom Austria AG, AT",8447,AT,True,
"A2HOSTING - A2 Hosting, Inc., US",55293,US,False,
"ABATON-AS, AT",42572,AT,True,
"ACAD-NET, LV",34073,LV,True,
"ACENET, HU",50261,HU,True,
"ACENS_AS Spain Hosting, housing and VPN services, ES",16371,ES,True,
"ACI-EDU-AS ZUT ACI Educational AS, PL",8286,PL,True,
"ACONET ACOnet Backbone, AT",1853,AT,True,
"ACTIVE24-AS www.active24.cz, CZ",25234,CZ,True,
"ACTIVENET-AS Str. Viorelelor nr. 4, RO",49302,RO,True,
"AIB-AS-1, IE",16282,IE,True,
"AIGC-AS, PL",39133,PL,True,
"AITIRE, ES",208591,ES,True,
"AKAMAI-AMS, NL",33905,NL,True,
"AKAMAI-AS - Akamai Technologies, Inc., US",16625,US,False,
"AKAMAI-ASN1, NL",20940,NL,True,
"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",63949,SG,False,
"ALIOR-AS, PL",47322,PL,True,
"ALMOUROLTEC, PT",24768,PT,True,
"ALTIA-AS, ES",57656,ES,True,
"AMAZON-02 - Amazon.com, Inc., US",16509,US,False,
"AMAZON-AES - Amazon.com, Inc., US",14618,US,False,
"AMB-CF-AS, FI",209299,FI,True,
"AMCCOMP-MASTER-BRNO, CZ",207167,CZ,True,
"and Business, GR",8611,GR,True,
"ANDORRA Andorra Telecom, AD",6752,AD,False,
"ANT-AS, HU",59448,HU,True,
"AP-AS, PL",48183,PL,True,
"APBG-AS, BG",44872,BG,True,
"APOLLO-AS Latvia, LV",12578,LV,True,
"ARUBA-ASN, IT",31034,IT,True,
"ARUBAENTERPRISE-ASN, IT",213224,IT,True,
"ARZ, AT",24656,AT,True,
"AS-ADTS-LU Proximus Luxembourg S.A., LU",25367,LU,True,
"AS-BENESTRA Bratislava, Slovak Republic, SK",5578,SK,True,
"AS-HITME, PL",50840,PL,True,
"AS-HOSTINGER, CY",47583,CY,True,
"AS-TUE Technische Universiteit Eindhoven TUe, NL",1161,NL,True,
"AS-ZXCS, NL",206281,NL,True,
