category,resource_type,domains_with_type,domain_share_pct,request_count,in_eu_request_count,outside_request_count,in_eu_share_pct,outside_share_pct,mean_external_probability,mean_in_eu_probability
government,script,330,99.697885,8789,6392,2397,72.727273,27.272727,0.272727,0.727273
government,image,322,97.280967,8419,5926,2493,70.388407,29.611593,0.296116,0.703884
government,stylesheet,322,97.280967,3201,1857,1344,58.013121,41.986879,0.419869,0.580131
government,font,263,79.456193,1075,778,297,72.372093,27.627907,0.276279,0.723721
government,other,320,96.676737,835,357,478,42.754491,57.245509,0.572455,0.427545
government,xhr,124,37.462236,450,243,207,54.0,46.0,0.46,0.54
government,fetch,77,23.26284,422,332,90,78.672986,21.327014,0.21327,0.78673
government,document,59,17.824773,86,16,70,18.604651,81.395349,0.813953,0.186047
government,ping,57,17.220544,73,48,25,65.753425,34.246575,0.342466,0.657534
government,media,10,3.021148,28,27,1,96.428571,3.571429,0.035714,0.964286
government,any,330,99.697885,23378,15976,7402,68.337753,31.662247,0.316622,0.683378
university,image,485,97.782258,15290,11592,3698,75.814258,24.185742,0.241857,0.758143
university,script,487,98.185484,11658,7201,4457,61.768742,38.231258,0.382313,0.617687
university,stylesheet,482,97.177419,7375,4990,2385,67.661017,32.338983,0.32339,0.67661
university,font,409,82.459677,2016,1454,562,72.123016,27.876984,0.27877,0.72123
university,xhr,167,33.669355,1155,294,861,25.454545,74.545455,0.745455,0.254545
university,other,476,95.967742,788,496,292,62.944162,37.055838,0.370558,0.629442
university,fetch,88,17.741935,351,166,185,47.293447,52.706553,0.527066,0.472934
university,document,119,23.991935,232,54,178,23.275862,76.724138,0.767241,0.232759
university,media,73,14.717742,195,123,72,63.076923,36.923077,0.369231,0.630769
university,ping,82,16.532258,146,97,49,66.438356,33.561644,0.335616,0.664384
university,any,495,99.798387,39206,26467,12739,67.507524,32.492476,0.324925,0.675075
bank,image,349,98.309859,8945,4660,4285,52.096143,47.903857,0.479039,0.520961
bank,script,349,98.309859,8391,3624,4767,43.189131,56.810869,0.568109,0.431891
bank,stylesheet,347,97.746479,2803,1307,1496,46.628612,53.371388,0.533714,0.466286
bank,font,292,82.253521,1469,708,761,48.196052,51.803948,0.518039,0.481961
bank,fetch,144,40.56338,991,501,490,50.554995,49.445005,0.49445,0.50555
bank,other,347,97.746479,754,360,394,47.745358,52.254642,0.522546,0.477454
bank,xhr,201,56.619718,748,386,362,51.604278,48.395722,0.483957,0.516043
bank,document,86,24.225352,115,58,57,50.434783,49.565217,0.495652,0.504348
bank,media,31,8.732394,80,43,37,53.75,46.25,0.4625,0.5375
bank,ping,27,7.605634,79,29,50,36.708861,63.291139,0.632911,0.367089
bank,any,354,99.71831,24375,11676,12699,47.901538,52.098462,0.520985,0.479015
newspaper,fetch,180,53.731343,37466,389,37077,1.038275,98.961725,0.989617,0.010383
newspaper,image,328,97.910448,12442,3532,8910,28.387719,71.612281,0.716123,0.283877
newspaper,script,334,99.701493,9960,2965,6995,29.769076,70.230924,0.702309,0.297691
newspaper,stylesheet,311,92.835821,2231,842,1389,37.740923,62.259077,0.622591,0.377409
newspaper,font,276,82.38806,1668,548,1120,32.853717,67.146283,0.671463,0.328537
newspaper,other,330,98.507463,1606,295,1311,18.368618,81.631382,0.816314,0.183686
newspaper,xhr,165,49.253731,1070,589,481,55.046729,44.953271,0.449533,0.550467
newspaper,document,119,35.522388,408,178,230,43.627451,56.372549,0.563725,0.436275
newspaper,ping,54,16.119403,179,119,60,66.480447,33.519553,0.335196,0.664804
newspaper,media,22,6.567164,90,37,53,41.111111,58.888889,0.588889,0.411111
newspaper,eventsource,1,0.298507,1,1,0,100.0,0.0,0.0,1.0
newspaper,any,335,100.0,67121,9495,57626,14.146094,85.853906,0.858539,0.141461
